Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","53","Bénin","5301","Disponibilité intérieure","2513","Orge","2013","2013","Milliers de tonnes","17","S","Données standardisées"
"FBS","Bilans Alimentaires","53","Bénin","5301","Disponibilité intérieure","2514","Maïs","2013","2013","Milliers de tonnes","1266","S","Données standardisées"
"FBS","Bilans Alimentaires","53","Bénin","5301","Disponibilité intérieure","2516","Avoine","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","53","Bénin","5301","Disponibilité intérieure","2517","Millet","2013","2013","Milliers de tonnes","23","S","Données standardisées"
"FBS","Bilans Alimentaires","53","Bénin","5301","Disponibilité intérieure","2518","Sorgho","2013","2013","Milliers de tonnes","115","S","Données standardisées"
"FBS","Bilans Alimentaires","53","Bénin","5301","Disponibilité intérieure","2520","Céréales, Autres","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBS","Bilans Alimentaires","17","Bermudes","5301","Disponibilité intérieure","2511","Blé","2013","2013","Milliers de tonnes","7","S","Données standardisées"
"FBS","Bilans Alimentaires","17","Bermudes","5301","Disponibilité intérieure","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","17","Bermudes","5301","Disponibilité intérieure","2513","Orge","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","17","Bermudes","5301","Disponibilité intérieure","2514","Maïs","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","17","Bermudes","5301","Disponibilité intérieure","2516","Avoine","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","17","Bermudes","5301","Disponibilité intérieure","2520","Céréales, Autres","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","19","Bolivie (État plurinational de)","5301","Disponibilité intérieure","2511","Blé","2013","2013","Milliers de tonnes","583","S","Données standardisées"
"FBS","Bilans Alimentaires","19","Bolivie (État plurinational de)","5301","Disponibilité intérieure","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","314","S","Données standardisées"
